category,text
news_article,"U.S. health officials say 4.4 million Americans have rolled up their sleeves for the updated COVID-19 booster shot. The Centers for Disease Control and Prevention posted the count Thursday as public health experts bemoaned President Joe Biden’s recent remark that “the pandemic is over.”

The White House said more than 5 million people received the new boosters by its own estimate that accounts for reporting lags in states.

Advertisement

Health experts said it is too early to predict whether demand would match up with the 171 million doses of the new boosters the U.S. ordered for the fall.

“No one would go looking at our flu shot uptake at this point and be like, ‘Oh, what a disaster,’” said Dr. David Dowdy, an infectious disease epidemiologist at Johns Hopkins Bloomberg School of Public Health. “If we start to see a large uptick in cases, I think we’re going to see a lot of people getting the (new COVID) vaccine.”

A temporary shortage of Moderna vaccine caused some pharmacies to cancel appointments while encouraging people to reschedule for a Pfizer vaccine. The issue was expected to resolve as government regulators wrapped up an inspection and cleared batches of vaccine doses for distribution.

“I do expect this to pick up in the weeks ahead,” said White House COVID-19 coordinator Dr. Ashish Jha. “We’ve been thinking and talking about this as an annual vaccine like the flu vaccine. Flu vaccine season picks up in late September and early October. We’re just getting our education campaign going. So we expect to see, despite the fact that this was a strong start, we actually expect this to ramp up stronger.”

Advertisement

Some Americans who plan to get the shot, designed to target the most common omicron strains, said they are waiting because they either had COVID-19 recently or another booster. They are following public health advice to wait several months to get the full benefit of their existing virus-fighting antibodies.

Others are scheduling shots closer to holiday gatherings and winter months when respiratory viruses spread more easily.

Ryan Dutton, an EMT from Rescue Inc., prepares shots of the Pfizer booster of the COVID-19 vaccine during a vaccine clinic held by Rescue Inc. at Leland & Gray Middle and High School, in Townshend, Vt., on Sept. 20, 2022. Kristopher Radder/The Brattleboro Reformer via Associated Press

Retired hospital chaplain Jeanie Murphy, 69, of Shawnee, Kansas, plans to get the new booster in a couple of weeks after she has some minor knee surgery. Interest is high among her neighbors from what she sees on the Nextdoor app.

“There’s quite a bit of discussion happening among people who are ready to make appointments,” Murphy said. “I found that encouraging. For every one naysayer there will be 10 or 12 people who jump in and say, ‘You’re crazy. You just need to go get the shot.’”

Advertisement

Biden later acknowledged criticism of his remark about the pandemic being over and clarified the pandemic is “not where it was.” The initial comment didn’t bother Murphy. She believes the disease has entered a steady state when “we’ll get COVID shots in the fall the same as we do flu shots.”

Experts hope she’s right, but are waiting to see what levels of infection winter brings. The summer ebb in case numbers, hospitalizations and deaths may be followed by another surge, Dowdy said.

Dr. Anthony Fauci, asked Thursday by a panel of biodefense experts what still keeps him up at night, noted that half of vaccinated Americans never got an initial booster dose.

“We have a vulnerability in our population that will continue to have us in a mode of potential disruption of our social order,” Fauci said. “I think that we have to do better as a nation.”

Some Americans who got the new shots said they are excited about the idea of targeting the vaccine to the variants circulating now.

Advertisement

“Give me all the science you can,” said Jeff Westling, 30, an attorney in Washington, D.C., who got the new booster and a flu shot on Tuesday, one in each arm. He participates in the combat sport jujitsu, so wants to protect himself from infections that may come with close contact. “I have no issue trusting folks whose job it is to look at the evidence.”

Meanwhile, Biden’s pronouncement in a “60 Minutes” interview broadcast Sunday echoed through social media.

“We still have a problem with COVID. We’re still doing a lot of work on it. But the pandemic is over,” Biden said while walking through the Detroit auto show. “If you notice, no one’s wearing masks. Everybody seems to be in pretty good shape. And so I think it’s changing.”

“The pandemic is over. We still have a problem with COVID. We’re still doing a lot of work on it. But the pandemic is over,” President Biden tells 60 Minutes in an interview in Detroit. https://t.co/7SixTE3OMT pic.twitter.com/s5fyjRpYuX — 60 Minutes (@60Minutes) September 19, 2022

By Wednesday on Facebook, when a Kansas health department posted where residents could find the new booster shots, the first commenter remarked snidely:

Advertisement

“But Biden says the pandemic is over.”

The president’s statement, despite his attempts to clarify it, adds to public confusion, said Josh Michaud, associate director of global health policy with the Kaiser Family Foundation in Washington.

“People aren’t sure when is the right time to get boosted. ‘Am I eligible?’ People are often confused about what the right choice is for them, even where to search for that information,” Michaud said.

“Any time you have mixed messages, it’s detrimental to the public health effort,” Michaud said. “Having the mixed messages from the president’s remarks, makes that job that much harder.”

University of South Florida epidemiologist Jason Salemi said he’s worried the president’s pronouncement has taken on a life of its own and may stall prevention efforts.

“That soundbite is there for a while now, and it’s going to spread like wildfire. And it’s going to give the impression that ‘Oh, there’s nothing more we need to do,’” Salemi said.

Advertisement

“If we’re happy with 400 or 500 people dying every single day from COVID, there’s a problem with that,” Salemi said. “We can absolutely do better because most of those deaths, if not all of them, are absolutely preventable with the tools that we have.”

New York City photographer Vivienne Gucwa, 44, got the new booster Monday. She’s had COVID twice, once before vaccines were available and again in May. She was vaccinated with two Moderna shots, but never got the original boosters.

“When I saw the new booster was able to tackle omicron variant I thought, ‘I’m doing that,’” Gucwa said.

“I don’t want to deal with omicron again. I was kind of thrilled to see the boosters were updated.”

___

AP Medical Writer Lauran Neergaard and AP White House Correspondent Zeke Miller contributed. ___"
news_article,"Alexander Tung Cuu Le, 33, of Westminster, in Southern California, was arrested when the aircraft landed at Los Angeles International Airport, according to an American Airlines official. He was charged Thursday with one count of interference with flight crew members and attendants, which carries a maximum penalty of up to 20 years in prison, said a statement by the U.S. Attorney’s Office for the Central District of California.

According to the statement, Le grabbed a flight attendant’s shoulder and demanded coffee about 20 minutes after the aircraft took off. He also allegedly disrupted passengers by hanging out near the first-class section of the cabin.

When another flight attendant told Le to return to his assigned seat, Le “allegedly stood up and assumed a fighting stance towards the flight attendant by making closed fists with both of his hands, which the flight attendant interpreted as a threat,” according to the DOJ statement.

A video taken by fellow passenger Barrie Livingstone shows Le apparently initially swinging his arm at the flight attendant but missing. As the attendant turned to walk away, Le can be seen rushing forward to strike the attendant in the head, eliciting cries of concern and outrage on the aircraft. The attack was “witnessed by several passengers,” the Justice Department said.

Le then “fled” to the back of the plane, where he was “apprehended by several passengers” and crew members, the statement added.

Le’s “hands and legs were cuffed,” but he “continuously unbuckled his seatbelt, causing flight attendants to restrain him to the seat with seatbelt extenders,” officials noted.

Le has been barred from all future flights by American Airlines.

“Acts of violence against our team members are not tolerated by American Airlines,” said a statement from American. “The individual involved in this incident will never be allowed to travel with us in the future, and we will work closely with law enforcement in their investigation.”

The airline thanked crew members and passengers for restraining Le until the aircraft was met by law enforcement at LAX.

Le appeared Thursday at the U.S. District Court in downtown Los Angeles, where he was charged.

The hearing was continued to Monday, Ciaran McEvoy, a spokesperson for the U.S. attorney’s office, told SFGate. “That will be a detention hearing to determine his bond, if any. Mr. Le has not pleaded to anything yet,” McEvoy added.

Attacks on flight attendants have skyrocketed in the last two years, largely triggered by sometimes violent, defiant responses to requirements to wear masks earlier in the COVID-19 pandemic. The Federal Aviation Administration logged an incredible 5,981 “unruly passenger reports last year. In 2020, the FAA investigated only 183 reports."
news_article,"Woof — it’s been a long, long week. We don’t have to tell you that.

Perhaps you feel like you’ve been working like a dog. If so, may we offer you the internet equivalent of a big pile of catnip? We refer, of course, to another helping of hilarious tweets about pets.

Each week, we scour Twitter to find the funniest quips and bon mots about our furballs being complete goofballs. They’re sure to make you howl.

Advertisement

(No need to beg for more ― you can check out last week’s batch right here.)

not to victim blame but if my cat didn’t want 100 smooches then she shouldn’t look so stinking cute — Noëlle (@ElleExistential) September 18, 2022

sometimes you leave your office and you come back and find your cat leading a discussion in your discord pic.twitter.com/iMkmTAIdkm — brelloween (@brellavis) September 22, 2022

don't be fooled by how cute this picture is. he is charging up his violence via photosynthesis pic.twitter.com/M2dElSQRFT — haley (@feederofcats) September 17, 2022

Until you have a dog you don't understand what could be eaten. — Bunsen and BEAKER (@bunsenbernerbmd) September 20, 2022

Advertisement

Beagle puppies rescued from a medical testing facility got to meet Snoopy. (OC) pic.twitter.com/c9HZ4y0Xcd — A happier day (@AHappierDay) September 23, 2022

damn that hits pic.twitter.com/uU5eml6lUO — cats being weird little guys (@weirdlilguys) September 22, 2022

*wife from the next room*

""I hope you haven't spent all your months wages on something expensive and unnecessary again""



Me: pic.twitter.com/tuK01s6jCa — Paul Bronks (@SlenderSherbet) September 22, 2022

reading books is not enough, I need a Jack Russell terrier in full costume to act them out — Owl! at the Library 😴🧙♀️ (@SketchesbyBoze) September 21, 2022

FRAUD ALERT: Local woman makes conflicting statements about her cat, claiming he is both a ""big strong man"" and a ""tiny potato boy"". pic.twitter.com/79lsZhu52T — Cats of Yore (@CatsOfYore) September 21, 2022

Advertisement

Greeting humans vs their dogs pic.twitter.com/NeGbEtd1n8 — Emma Pope (@emmerpope) September 21, 2022

orange cats are so elite like sorry to the other cats but facts are facts — Ashley Reese (@offbeatorbit) September 19, 2022

if your having a hard time right now here is a picture of my cat in a bee costume. it never fails to make me laugh pic.twitter.com/PpR8S7Lv9e — taylor! 🏳️🌈✨ (@naotoosh) September 23, 2022

Advertisement

Decision making is the worst pic.twitter.com/YbzQn5v27m — 🇪🇬Omar (@Omar_pets0) September 21, 2022

my dog to the puddle of brown oily water on the side of the road pic.twitter.com/7HgTi0DHWT — sloane (sîpihkopiyesîs) (@cottoncandaddy) September 21, 2022

pic.twitter.com/80I6YoyVfq — There is no cat in this image (@Thereisnocat_) September 23, 2022

the joy and excitement that i feel for my cat when his one working brain cell powers up to find a toy under a bookcase we haven’t seen in months — oatmeal influencer (@acechhh) September 18, 2022

Cats and their tiny crocheted couches pic.twitter.com/jmdSF2zn5s — cats who share one braincell (@CATBRAINCELL) September 20, 2022

Advertisement

they’re on a journey pic.twitter.com/fjILQKLp6g — cat in odd places (@catinoddplaces) September 21, 2022

The best workout is a deep squat to pet a stray cat — Anna Drezen (@annadrezen) September 22, 2022"
news_article,"I thought my 2yo would be ok w the new Cars show even though I heard it was a bit scary bc he loves Cars & has never been scared of TV but we watched the haunted house ep, he was completely silent and then at the end said “I don’t want to watch TV anymore” Did I break him??"
news_article,"A white woman who said that she was unfairly fired and branded a racist by her former employer after calling the cops on a Black bird-watcher in a New York park ― leading social media users to dub her “Central Park Karen” ― has had a discrimination lawsuit thrown out.

U.S. District Judge Ronnie Abrams on Wednesday dismissed the suit filed by Amy Cooper against investment firm Franklin Templeton, determining that her allegations of discrimination on the basis of race and sex — as well as defamation, negligence and intentional infliction of emotional distress — were unsubstantiated.

Advertisement

“We are pleased that the court has dismissed the lawsuit. We continue to believe the company responded appropriately,” a representative for Franklin Templeton said in a statement to HuffPost.

The company announced Cooper’s termination on social media shortly after video of her May 2020 encounter with a man named Christian Cooper ― with whom she shares no relation ― went viral. He had asked her to leash her dog in the park, prompting the woman to call 911 and accuse the bird-watcher of threatening her.

Amy Cooper is shown with her dog in a viral video from May 2020. via Associated Press

“I’m going to tell them there’s an African American man threatening my life,” she said in the video.

Prosecutors, who charged her with filing a false report, said that Cooper also made a second 911 call in which she claimed that a Black man “tried to assault her in the Ramble area of the park.” A judge last year agreed to drop the criminal charge against her after she completed five sessions of an educational program that included instruction about racial bias.

Advertisement

Franklin Templeton quickly placed Cooper on administrative leave over the incident, before tweeting that the company had fired her after an internal review.

“We do not tolerate racism of any kind at Franklin Templeton,” it said at the time.

Cooper’s lawsuit accused the company of making defamatory statements against her in that tweet and claimed that an internal investigation was not performed.

Amy Cooper calls police in the viral video. via Associated Press

However, Abrams ruled that merely watching video of the incident and holding a discussion within the company would “meet a reasonable interpretation of ‘internal review.’”

“Plaintiff may take issue with the sufficiency of Defendants’ investigation into the incident, but she has not plausibly alleged that no investigation was conducted at all,” the judge said this week.

Advertisement

If someone inferred that the company was calling Cooper a racist in its tweet, that would constitute “protected opinion,” according to Abrams.

“It is well-established that an accusation of bigotry is a protected statement of opinion, rather than a defamatory statement of fact capable of being proven true or false,” she said."
news_article,"A woman hired to clean the public bathroom of a Belk department store in South Carolina (a similar store pictured) was found dead in the store's restroom on Monday after she was several days missing, authorities said. John Greim via Getty Images

COLUMBIA, S.C. (AP) — A 63-year-old worker died in the public bathroom of a South Carolina department store, but her body was not discovered for four days, authorities said.

Bessie Durham, who worked for an outside company that cleans the Belk store at Columbiana Centre, was found dead Monday, investigators said. Her cleaning cart was outside the restroom.

Advertisement

Durham was last seen Thursday at work and her body was found shortly after her family filed a missing person report, Columbia Deputy Police Chief Melron Kelly, told WIS-TV.

The Lexington County Coroner’s Office said there are no signs someone killed Durham or that she was using drugs. An autopsy is planned Thursday to determine her cause of death.

Durham was seen on a surveillance camera going in the bathroom at 7 a.m. Thursday and she did not come out. Her body was found around 8 p.m. Monday, the coroner’s office said.

The store was open regularly over those four days and Kelly said police are investigating to see if anyone was negligent.

Advertisement

“We’re still working with the store to find out what their process is to closing down the store, inspecting the store and things of that nature,” Kelly said."
news_article,"Robert Tilearcio Jr.'s surprise TV proposal to reporter Michelle Ross on PIX11 PIX11/YouTube

It seems the folks at New York news channel PIX11 decided to add a little sparkle to one of this week’s segments.

Michelle Ross, a reporter for the local CW affiliate, was finishing up a live on-air interview in The Battery on Wednesday when a man appeared behind her in the park and bent down on one knee.

Advertisement

Thankfully, the person Ross was interviewing didn’t give a hint as to what was happening — and as the reporter went to send the broadcast back to the studio, one of her anchors asked, “Who’s that behind you?”

Ross turned around to find her boyfriend, Robert Tilearcio Jr., kneeling in front of a banner that read, “Will You Marry Me?”

“I’ve waited 10 years for this,” he said in the broadcast video. “You are the love of my life, and I definitely want to ask: Will you marry me?”

“I love you — of course!” Ross said, equal parts shocked and emotional.

Advertisement

The camera then panned to show Ross and Tilearcio’s nearest and dearest who showed up for the proposal as they celebrated the happy occasion.

Although the reporter was clearly swept up in the moment, that didn’t stop her co-workers back at the studio from asking, “Michelle, who is that handsome man next to you?” Ross, still stunned, at first seemed to ignore or not hear their repeated requests, which gave a truly awkward — and, let’s admit it, “Office” like — juxtaposition to an otherwise sweet scene.

Despite this, Ross seemed to appreciate the effort that Tilearcio and her PIX11 team put into the surprise proposal.

“You did a good job,” she told her husband-to-be, who works for the New York City Fire Department. “Thank you, guys.”

PIX11 also didn’t seem too upset about Ross initially overlooking their requests to share her fiance’s name on air. The news station posted a video of the proposal on its Instagram page Wednesday.

Advertisement

“Congrats to PIX11′s @michellearezouross ! 💍 She was doing a live interview when her FDNY boyfriend and family members surprised her in Battery Park,” the outlet captioned the clip, using the reporter’s handle on the platform."
news_article,"CAGUAS, Puerto Rico (AP) — More than a half million people in Puerto Rico remained without water service three days after Hurricane Fiona slammed into the U.S. territory, and many spent hours in lines Wednesday to fill jugs from water trucks while others scooped water from mountain runoff.

Sweat rolled down the faces of people in a long line of cars in the northern mountain town of Caguas, where the government had sent a water truck, one of at least 18 so-called “oases” set up across the island.

Advertisement

The situation was maddening for many people across an island once again left without basic services following a storm.

“We thought we had a bad experience with Maria, but this was worse,” Gerardo Rodríguez said in the southern coastal town of Salinas, referring to the 2017 hurricane that caused nearly 3,000 deaths and demolished the island’s power grid.

Fiona dumped roughly two feet of rain on parts of Puerto Rico before blasting across the eastern Dominican Republic and the Turks and Caicos Islands.

Swelled to Category 4 force, the storm was on a track to pass close by Bermuda early Friday and then hit easternmost Canada early Saturay, according to the U.S. National Hurricane Center.

Advertisement

The storm played havoc with Puerto Rico’s electrical grid, which had been patched but never fully rebuilt after Maria caused a blackout that lasted 11 months in some places.

A man points to a home that was collapsed by Hurricane Fiona at Villa Esperanza in Salinas, Puerto Rico, Wednesday, September 21, 2022. Alejandro Granadillo via Associated Press

As of Wednesday afternoon, roughly 70% of Puerto Rican customers lacked electricity, according to government figures.

In Caguas, the air conditioning of Emayra Veguilla’s car wasn’t working, so the bus driver propped up a small fan in the passenger seat. Earlier, she had blasted the song “Hijos del Canaveral” (“Sons of the Sugarcane Field”), written by Puerto Rican hip-hop star René Pérez as an ode to Puerto Rico and its people’s bravery.

“I needed a shot of patriotism,” she said. “I needed strength to do this once again.”

Veguilla had waited in line Tuesday, only to be told that the water had run out and that another truck would not be available until Wednesday.

Advertisement

Some people ahead of Veguilla gave up and drove away, with tensions running high the longer people waited.

“Move!” yelled one driver, fearful of people trying to cut in.

Some who saw the line opted instead to drive to a nearby highway where fresh water trickled down the mountainside via a bamboo pipe that someone had installed.

Greg Reyes, an English teacher, stood in line in muddy flip-flops to collect water for himself, his girlfriend and their cat. He had brought a large bag holding all the empty containers he could find in their house, including more than a dozen small water bottles.

Reyes said he and his partner had been buying water since Fiona hit, but couldn’t afford to do so any longer.

Standing behind him was retiree William Rodríguez, surrounded by three large buckets and four gallon containers. He had been living in Massachusetts and decided to return to Puerto Rico about six months ago.

Advertisement

“But I think I’m leaving again,” he said as he shook his head.

Those in the line grumbled about the slow pace of recovery and accused the government of not helping them as people on social media and even a gym said their doors were open to anyone who needed water or a shower.

“This hasn’t been easy,” said Juan Santos, a retiree who held the hand of his 5-year-old grandson. “We are suffering.”

None of those in line had power either, and many wondered if it would take as long to restore as it did with Hurricane Maria.

Power company officials initially said it would take a few days for electricity to be restored, but then appeared to backtrack Tuesday night, saying they faced numerous obstacles.

“Hurricane Fiona has severely impacted electrical infrastructure and generation facilities throughout the island. We want to make it very clear that efforts to restore and reenergize continue and are being affected by severe flooding, impassable roads, downed trees, deteriorating equipment, and downed lines,” said Luma, the company that operates power transmission and distribution.

Advertisement

Officials said crews found several substations underwater and inaccessible.

But Luma said it expected to restore power Wednesday to much of Puerto Rico’s north coast, which Fiona largely spared.

The hum of generators could be heard across the territory as people became increasingly exasperated.

“I continue to hope that by the end of today, a large part of the population will have these services,” said Puerto Rico Gov. Pedro Pierluisi.

The head of the Federal Emergency Management Agency traveled to Puerto Rico on Tuesday and the agency announced it was sending hundreds of additional personnel to boost local response efforts. On Wednesday, U.S. President Joe Biden approved a major disaster declaration, which would allow for more federal assistance.

Meanwhile, the U.S. Department of Health and Human Services declared a public health emergency in Puerto Rico and deployed a couple of teams to the island.

In the Turks and Caicos Islands, officials reported relatively light damage and no deaths, though the eye of the Category 4 storm passed close to Grand Turk, the small British territory’s capital island, on Tuesday.

Advertisement

“Turks and Caicos had a phenomenal experience over the past 24 hours,” said Deputy Gov. Anya Williams. “It certainly came with its share of challenges.”

Officials said school on Grand Turk would reopen next week.

The Hurricane Center said Fiona had maximum sustained winds of 130 mph (215 kph) late Wednesday. It was centered about 550 miles (885 kilometers) southwest of Bermuda, heading north at 10 mph (17 kph).

Fiona killed a man in the French overseas department of Guadeloupe and two others in Puerto Rico swept away by swollen rivers. Two died in the Dominican Republic: one killed by a falling tree and the other by a falling electric post.

Two additional deaths were reported in Puerto Rico as a result of the blackout: A 70-year-old man burned to death after he tried to fill his running generator with gasoline and a 78-year-old man police say inhaled toxic gases from his generator.

___

Associated Press journalists Maricarmen Rivera Sánchez and Alejandro Granadillo contributed to this report."
news_article,"Musician and music manager Doris Muñoz dances in a blue-lit crowd at a concert in New York City, in a scene from the documentary ""Mija."" Disney

“We inherit our family’s dreams, but also their fears. It takes a lot of courage to make your own path.”

That line of narration from the new documentary “Mija” — spoken by one of its subjects, musician and music manager Doris Muñoz — has stuck with me for months since its Sundance Film Festival premiere in January.

Advertisement

The documentary follows Muñoz and two of her clients: first, singer/songwriter Cuco and later, singer/songwriter Jacks Haupt. Muñoz’s success as a manager representing fellow Latinx artists has provided material support to her family. In the film, her parents are undergoing the arduous and bureaucratic process of applying for green cards. Muñoz, the only U.S.-born member of her immediate family, is also the liaison between them and her brother, who lives across the border in Tijuana after he was deported.

In “Mija,” Muñoz and Haupt grapple with a lot of complicated feelings that are familiar to many children of immigrants, especially those trying to make it in a creative profession. They want to live up to their parents’ expectations and make them proud, and feel obligated to help them and honor their enormous sacrifices. Amid all of that, they’re figuring out how to make it in a field where there aren’t a lot of people like them.

Premiering Friday on Disney+, “Mija” is the feature debut of director Isabel Castro. She previously spent a decade in journalism, producing documentary shorts and series at the New York Times, the Marshall Project and VICE, where she was an Emmy-nominated producer for “VICE News Tonight.” As she explained in an interview, the seed for “Mija” came from a desire to tell more nuanced stories about immigration — not just about the act of immigrating or the policies behind it, but the complex emotions it brings up and “the ripple effects across different generations.”

Isabel Castro, the director of ""Mija."" Jackie Russo

Advertisement

“The range of emotions that comes along with immigrating to this country is really, really nuanced and complicated, and the spectrum is really wide,” she said. “Oftentimes, immigrant stories are very narrowly focused on exclusively the trauma of that experience.”

It’s the kind of story Castro has wanted to tell for many years, and the intersection of several of her creative goals. As a Mexican American journalist covering immigration and civil rights in the Trump era, Castro “started to feel really disillusioned by the kind of aspirations towards objectivity,” she said. “Just looking at the ways that different government policies were affecting folks on the ground, it was very difficult for me to really try to maintain objectivity.”

Castro, who has a background in filmmaking but cut her teeth in journalism and documentary TV work to build a more steady career path, quit her day job and used her savings to get back into independent film. She took a course in cinematography to be able to work independently and reduce costs, since getting a film funded can be a long and cumbersome process.

When considering what story she wanted to tell, she remembered that “I’ve always loved music docs. So I thought, ‘Oh, maybe there’s a way to have a music doc intersect with a story about immigration,’” she said. “And that’s kind of the seed that was planted.”

In 2019, Castro came across a California Sunday magazine profile about Cuco, which mentioned the work Muñoz was doing as his manager. After several phone conversations with Muñoz, Castro met her in person later that year at “Selena for Sanctuary,” a concert paying homage to the late singer and icon Selena. A few years earlier, Muñoz began the event as a way to raise money for her parents’ legal fees, and later grew it into a fundraiser for immigrant rights organizations. Soon after the two met, Muñoz agreed to be part of the documentary.

Advertisement

Doris Muñoz and Jacks Haupt lay on a multicolored blanket in the grass, in a scene from the documentary ""Mija."" Disney

When deciding to move away from journalism and make her own feature film, Castro also wanted to be able to make more specific stylistic choices. “There’s objectivity, also, in the vernacular of imagery that journalism is told in. And I wanted to make something that felt really subjective, that felt really intentional about its POV and about the image itself being part of the messaging and the story,” she said.

For instance, “Mija” features a vibrant color palette and dream-like sequences, which were inspired by HBO’s “Euphoria.” “In terms of trying to react to or deviate from the typical ways that immigrant stories are told, I really wanted to adopt a visual language that felt really young and exciting, and so I looked a lot to ‘Euphoria,’” she said.

In choosing to have Muñoz narrate the documentary, Castro drew from the voiceover of characters like Cher Horowitz in “Clueless” and Carrie Bradshaw in “Sex and the City,” which she loved as a teen. “I really connected to Carrie and Cher, despite our huge differences, just because of the VO. I felt like there was an intimacy that was established through the voiceover,” she said. “So I always knew that I wanted to emulate that in the voiceover for the film.”

Like everything else in the world, the pandemic shifted Muñoz’s life and the course of the documentary, forcing Castro to get creative with the production limitations. “I went into this thinking it would be a more traditional music doc. I thought I’d be on the road. I thought it was going to be a Chicano ‘Almost Famous,’” she said. “But the pandemic hit, and my expectations just completely went out the window.”

Advertisement

While we didn’t get that road movie version of “Mija,” the film’s intimate moments of reflection lend itself well to the complicated questions it explores — the kind that don’t fit into a pithy headline or neat narrative.

For children of immigrants, in some ways, perhaps the ultimate gift to our parents is to get to make the choices they couldn’t, and to be able to move beyond basic questions of survival and material needs. But it also can be hard for our parents to understand our choices, and we can feel a sense of guilt for being able to focus on less material concerns than they did.

“One of the emotions that I personally carry with me and most wanted to explore in this was the feeling of guilt,” Castro said. “And I think that that’s particularly prevalent in the stories of immigrants because migration just is inherently a traumatic experience. No matter what your story is, it’s a decision to leave your home, and it’s a decision to leave your country and your culture and move to a new place. And it’s painful.”

“And I think that as children of immigrants, oftentimes you see that pain or interpret that pain, and you want to honor it,” she continued. “And sometimes, that comes along with a lot of pressure, and that pressure often comes along with feelings of guilt. So I wanted to explore those kinds of emotions. I wanted the film to live not just exclusively in the trauma of immigration, because that’s always going to be there in our lives, in our stories and in our day-to-day experiences.”

Castro wants more immigration stories to capture these more complicated feelings and questions.

“The nuanced emotions are the ones that I think come up more often on a day-to-day basis,” she continued. “Having covered immigration for many, many years, that is the reality of most people’s experiences that I see. It’s not something black and white.”

Advertisement"
news_article,"NEW YORK (AP) — President Joe Biden is ready to make the case to world leaders at the U.N. General Assembly that Russia’s “naked aggression” in Ukraine is an affront to the heart of what the international body stands for as he looks to rally allies to stand firm in backing the Ukrainian resistance.

Biden, during his time at the U.N. General Assembly, also planned to meet Wednesday with new British Prime Minister Liz Truss, announce a global food security initiative and press allies to meet an $18 billion target to replenish the Global Fund to Fight AIDS, tuberculosis and malaria.

Advertisement

But White House officials say the crux of the president’s visit to the U.N. this year would be a full-throated condemnation of Russia as its brutal war nears the seven-month mark.

“He’ll offer a firm rebuke of Russia’s unjust war in Ukraine and make a call to the world to continue to stand against the naked aggression that we’ve seen these past several months,” White House national security adviser Jake Sullivan said in previewing the president’s address. “He will underscore the importance of strengthening the United Nations and reaffirm core tenets of its charter at a time when a permanent member of the Security Council has struck at the very heart of the charter by challenging the principle of territorial integrity and sovereignty.”

The address comes as Russian-controlled regions of eastern and southern Ukraine have announced plans to hold Kremllin-backed referendums in days ahead on becoming part of Russia and as Moscow is losing ground in the invasion. Russian President Vladimir Putin on Wednesday announced a partial mobilization to call up 300,000 reservists and accused the West of engaging in “nuclear blackmail.”

Biden is confronting no shortage of difficult issues as leaders gather this year.

President Joe Biden waves as he disembarks Air Force One at John F Kennedy International Airport in New York City on Sept. 20, 2022. MANDEL NGAN via Getty Images

Advertisement

When he addressed last year’s General Assembly, Biden focused on broad themes of global partnership, urging world leaders to act with haste against the coronavirus, climate change and human rights abuses. And he offered assurances that his presidency marked a return of American leadership to international institutions following Donald Trump’s “America First” foreign policy.

But one year later, global dynamics have dramatically changed.

Stewart Patrick, senior fellow and director of the Global Order and Institutions Program at the Washington think tank Carnegie Endowment for International Peace, wrote in an analysis that Biden’s task this year is “immense” compared to his first address to the U.N. as president.

“Last year, the U.S. leader won easy plaudits as the ‘anti-Trump,’ pledging that ‘America was back,’” Patrick said. “This year demands more. The liberal, rules-based international system is reeling, battered by Russian aggression, Chinese ambitions, authoritarian assaults, a halting pandemic recovery, quickening climate change, skepticism of the U.N.’s relevance, and gnawing doubts about American staying power.”

Beyond diplomacy, the president is also doing some politicking. This year’s gathering comes less than seven weeks before pivotal midterm elections in the United States. Shortly after arriving in Manhattan on Tuesday night, Biden spoke at a Democratic National Committee fundraiser for about 100 participants that raised nearly $2 million, and he’s set to hold another fundraiser on Thursday before heading back to Washington.

Advertisement

His Wednesday address comes on the heels of Ukrainian forces retaking control of large stretches of territory near Kharkiv. But even as Ukrainian forces have racked up battlefield wins, much of Europe is feeling painful blowback from economic sanctions levied against Russia. A vast reduction in Russian oil and gas has led to a sharp jump in energy prices, skyrocketing inflation and growing risk of Europe slipping into a recession.

Biden’s visit to the U.N. also comes as his administration’s efforts to revive the 2015 Iran nuclear deal appears stalled.

The deal brokered by the Obama administration — and scrapped by Trump in 2018 — provided billions of dollars in sanctions relief in exchange for Iran’s agreement to dismantle much of its nuclear program and open its facilities to extensive international inspection.

Sullivan said no breakthrough with Iran is expected during the General Assembly but Biden would make clear in his speech that a deal can still be done “if Iran is prepared to be serious about its obligations.” He added that administration officials would be consulting with fellow signatories of the 2015 deal on the sidelines of this week’s meetings.

Marine One carrying President Joe Biden arrives to land at the Wall Street landing zone in lower Manhattan in New York on Sept. 20, 2022. MANDEL NGAN via Getty Images

Advertisement

This year’s U.N. gathering is back to being a full-scale, in-person event after two years of curtailed activity due to the pandemic. In 2020, the in-person gathering was canceled and leaders instead delivered prerecorded speeches; last year was a mix of in-person and prerecorded speeches. Biden and first lady Jill Biden were set to host a leaders’ reception on Wednesday evening.

China’s President Xi Jinping opted not to attend this year’s U.N. gathering, but his country’s conduct and intentions will loom large during the leaders’ talks.

Last month, the U.N. human rights office raised concerns about possible “crimes against humanity” in China’s western region against Uyghurs and other largely Muslim ethnic groups. Beijing has vowed to suspend cooperation with the office and blasted what it described as a Western plot to undermine China’s rise.

Meanwhile, China’s government on Monday said Biden’s statement in a CBS “60 Minutes” interview that American forces would defend Taiwan if Beijing tried to invade the self-ruled island was a violation of U.S. commitments on the matter, but it gave no indication of possible retaliation.

The White House said after the interview that there has been no change in U.S. policy on Taiwan, which China claims as its own. That policy says Washington wants to see Taiwan’s status resolved peacefully but doesn’t say whether U.S. forces might be sent in response to a Chinese attack.

Advertisement

___"
